epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.532,1.35741,1.98988,1.66563,0.69759,0.43215,0.47114,0.25553,1.57056,1.42609,1.86631,0.00333098,0.00333098,0.0700212
2,706.715,1.23803,1.37303,1.53058,0.68959,0.50485,0.53802,0.29943,1.5242,1.31285,1.82802,0.00653236,0.00653236,0.0398892
3,1080.48,1.26349,1.44745,1.56326,0.68356,0.49611,0.53724,0.30579,1.47655,1.34706,1.79419,0.00960174,0.00960174,0.00962528
4,1450.87,1.29996,1.5249,1.60802,0.68433,0.49831,0.51825,0.3199,1.31943,1.25746,1.69112,0.009406,0.009406,0.009406
5,1822.11,1.25625,1.4346,1.5732,0.76642,0.52005,0.58642,0.36759,1.28484,1.12538,1.64127,0.009208,0.009208,0.009208
6,2192.31,1.22446,1.37085,1.55258,0.70794,0.56371,0.59503,0.40828,1.11988,1.04341,1.52491,0.00901,0.00901,0.00901
7,2559.06,1.19281,1.31149,1.53139,0.80819,0.54821,0.6128,0.42449,1.09536,0.97065,1.50229,0.008812,0.008812,0.008812
8,2926,1.1653,1.24914,1.50952,0.6244,0.58461,0.62887,0.4531,1.03556,0.94822,1.46103,0.008614,0.008614,0.008614
9,3293.7,1.13997,1.19889,1.48637,0.72476,0.61084,0.63681,0.4598,1.01773,0.91374,1.4367,0.008416,0.008416,0.008416
10,3662.21,1.1313,1.18292,1.47579,0.74992,0.58787,0.6335,0.46874,0.96593,0.89286,1.38906,0.008218,0.008218,0.008218
11,4026.96,1.1235,1.16151,1.47353,0.67204,0.63487,0.67429,0.51061,0.91925,0.84871,1.36037,0.00802,0.00802,0.00802
12,4394.47,1.09404,1.1135,1.45176,0.82468,0.58566,0.65791,0.48704,0.95363,0.83369,1.36568,0.007822,0.007822,0.007822
13,4760.8,1.08983,1.10227,1.44981,0.70243,0.64653,0.69856,0.53123,0.90283,0.79009,1.34141,0.007624,0.007624,0.007624
14,5128.31,1.07379,1.06096,1.43391,0.83374,0.63441,0.71008,0.54165,0.89207,0.78655,1.32648,0.007426,0.007426,0.007426
15,5495.34,1.05579,1.03928,1.42124,0.80955,0.63179,0.69532,0.53636,0.87337,0.73509,1.29878,0.007228,0.007228,0.007228
16,5865.26,1.05133,1.02715,1.41461,0.82207,0.66578,0.72407,0.56166,0.86285,0.72363,1.29056,0.00703,0.00703,0.00703
17,6229.66,1.03338,0.99643,1.39981,0.69881,0.64489,0.7085,0.55324,0.84883,0.74536,1.28589,0.006832,0.006832,0.006832
18,6595.38,1.01656,0.97279,1.38488,0.82486,0.66232,0.71667,0.56183,0.83866,0.70045,1.25787,0.006634,0.006634,0.006634
19,6961.36,1.01787,0.97945,1.39129,0.82439,0.63615,0.70472,0.54883,0.8487,0.72064,1.28295,0.006436,0.006436,0.006436
20,7329.82,1.00511,0.95954,1.38554,0.84768,0.66747,0.72981,0.57202,0.83716,0.66107,1.26639,0.006238,0.006238,0.006238
21,7694.17,0.99473,0.94213,1.37154,0.77963,0.70394,0.74707,0.58066,0.81951,0.64722,1.2448,0.00604,0.00604,0.00604
22,8063.89,0.98835,0.91673,1.36415,0.80881,0.6951,0.73319,0.58255,0.79571,0.65128,1.24076,0.005842,0.005842,0.005842
23,8428.63,0.9782,0.91237,1.35544,0.82663,0.68642,0.73501,0.58207,0.79753,0.65489,1.22491,0.005644,0.005644,0.005644
24,8794.07,0.96783,0.89392,1.34675,0.80451,0.72476,0.74906,0.60399,0.77138,0.61622,1.21097,0.005446,0.005446,0.005446
